Mina;Destino;Tipo Material;Grupo ;Distancia;Rango;Pertenencia;;
PP-ESTERIL-OME (LA CUENCA);Silencio;Esteril;OME;8; 3,1 a 8 ;Remedios;;
PP ESTERIL EL SILENCIO - ALIANZA MINER SK 3,7;Lote Camambolo;Esteril;OME;6,9; 3,1 a 8 ;Segovia;;
PP ESTERIL SANDRA K;Mina Nordic;Esteril;AMS;3,2; 3,1 a 8 ;Segovia;;
PP ESTERIL SANDRA K RC;Ratón Pelado;Esteril;AMS;5,9; 3,1 a 8 ;NA;;
PP ESTERIL PROVIDENCIA RC;Ratón Pelado;Esteril;AMS;5,4; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K;Acopio Relleno Municipal;Esteril;AMS;3,3; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K RC;Terrazas;Esteril;AMS;5,9; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K RC;Machete Gold;Esteril;AMS;5,7; 3,1 a 8 ;NA;;
MACHETE GOLD;Batallón;Esteril;AMS;1,5; 0 a 3 ;NA;;
PP ESTERIL SANDRA K;Mina Diamante;Esteril;AMS;10,4; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Puente La Quimbaya;Esteril;AMS;10,3; 8,1 a 20 ;NA;;
PP-ESTERIL-OME (LA RELIQUIA);Terrazas;Esteril;OME;3; 0 a 3 ;Segovia;;
PP-ESTERIL-OME (LA RELIQUIA);Puente Bolivia;Esteril;OME;2,1; 0 a 3 ;Segovia;;
PP-ESTERIL-OME (LA RELIQUIA);Machete Gold;Esteril;OME;2; 0 a 3 ;Segovia;;
PP ESTERIL EL SILENCIO - PORTAL 500;Batallón;Esteril;AMS;1,6; 0 a 3 ;NA;;
PP ESTERIL SANDRA K;Mina Quimbaya;Esteril;AMS;17,5; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;Batallón;Esteril;AMS;10,4; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Explominerales;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL EL SILENCIO;Portal 500;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL SANDRA K;Batallón;Esteril;AMS;19,4; 8,1 a 20 ;NA;;
PP ESTERIL EL SILENCIO;Batallón;Esteril;AMS;1,8; 0 a 3 ;NA;;
PP ESTERIL PROVIDENCIA;Alianza Miner;Esteril;AMS;12,4; 8,1 a 20 ;NA;;
PP ESTERIL SANDRA K;Buenos Aires;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL EL SILENCIO - PORTAL 500;Pampa Verde;Esteril;AMS;12,4; 8,1 a 20 ;NA;;
PP ESTERIL PROVIDENCIA;MINA SAN FENIX;Esteril;AMS;2,5; 0 a 3 ;NA;;
PP ESTERIL PROVIDENCIA;Acopio Relleno Municipal;Esteril;AMS;2,8;0 a 3;Remedios;;
PP ESTERIL SANDRA K;MINA SAN FENIX;Esteril;AMS;3,4; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K;VIA MONTAROCA;Esteril;AMS;4,1; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K RC;Portal 500;Esteril;AMS;5,7; 3,1 a 8 ;NA;;
PP ESTERIL SANDRA K RC;Trituracion-Plaza Trio;Esteril;AMS;5,7; 3,1 a 8 ;NA;;
PP ESTERIL EL SILENCIO - PORTAL 500;Terrazas;Esteril;AMS;3; 0 a 3 ;NA;;
PP ESTERIL PROVIDENCIA;VIA MONTAROCA;Esteril;AMS;7,2; 3,1 a 8 ;NA;;
